time_key,open,high,low,close,volume
2024-10-24,244.68,262.1199,242.65,260.48,204491903
2024-10-25,256.01,269.49,255.32,269.19,161611931
2024-10-28,270,273.536,262.24,262.51,107653603
2024-10-29,264.51,264.98,255.51,259.52,80521751
2024-10-30,258.035,263.35,255.8201,257.55,53993576
2024-10-31,257.99,259.75,249.25,249.85,66575292
2024-11-01,252.043,254,246.63,248.98,57544757
2024-11-04,244.56,248.9,238.88,242.84,68802354
2024-11-05,247.34,255.2799,246.2101,251.44,69282505
2024-11-06,284.67,289.59,275.62,288.53,165228710
2024-11-07,288.89,299.75,285.52,296.91,117309232
2024-11-08,299.14,328.71,297.66,321.22,204782763
2024-11-11,346.3,358.64,336,350,210521625
2024-11-12,342.74,345.84,323.31,328.49,155726016
2024-11-13,335.85,344.5999,322.5,330.24,125405599
2024-11-14,327.69,329.98,310.37,311.18,120726109
2024-11-15,310.57,324.6799,309.22,320.72,114440286
2024-11-18,340.73,348.5499,330.01,338.74,126547455
2024-11-19,335.76,347.3799,332.75,346,88852452
2024-11-20,345,346.5999,334.3,342.03,66340650
2024-11-21,343.81,347.9899,335.28,339.64,58011719
2024-11-22,341.085,361.53,337.7,352.56,89140722
2024-11-25,360.14,361.93,338.2,338.59,95890899
2024-11-26,341,346.96,335.66,338.23,62295857
2024-11-27,341.8,342.55,326.59,332.89,57896439
2024-11-29,336.08,345.45,334.6501,345.16,37167621
2024-12-02,352.38,360,351.1501,357.09,77986478
2024-12-03,351.8,355.69,348.2,351.42,58267196
2024-12-04,353,358.1,348.6,357.93,50810874
2024-12-05,359.87,375.43,359.5,369.49,81403569
2024-12-06,377.42,389.49,370.8,389.22,81455834
2024-12-09,397.61,404.8,378.01,389.79,96359173
2024-12-10,392.68,409.73,390.85,400.99,97563578
2024-12-11,409.7,424.88,402.38,424.77,104287559
2024-12-12,424.84,429.3,415,418.1,87752225
2024-12-13,420,436.3,415.71,436.23,89000158
2024-12-16,441.09,463.19,436.15,463.02,114083811
2024-12-17,475.9,483.99,457.5101,479.86,131222978
2024-12-18,466.495,488.5399,427.01,440.13,149340788
2024-12-19,451.88,456.36,420.02,436.17,118566146
2024-12-20,425.505,447.08,417.64,421.06,132216176
2024-12-23,431,434.51,415.4112,430.6,72698055
2024-12-24,435.9,462.78,435.14,462.28,59551750
2024-12-26,465.16,465.3299,451.02,454.13,76651210
2024-12-27,449.52,450,426.5,431.66,82666821
2024-12-30,419.4,427,415.75,417.41,64941012
2024-12-31,423.79,427.93,402.54,403.84,76825121
2025-01-02,390.1,392.7299,373.04,379.28,109710749
